category,nights (domestic),nights (inter),total
Hotel/Resort/Motel/Motor inn,114419.00,41799.00,156217.00
Guest house or bed & breakfast,2078.00,287.00,2366.00
Rented accommodation,36285.00,104025.00,140310.00
Caravan park or commercial camping ground,35812.00,2434.00,38246.00
Backpacker or hostel,817.00,11797.00,12614.00
Other commercial accommodation,3050.00,5684.00,8733.00
Own property,17513.00,2624.00,20137.00
Friends or relatives property,134770.00,89255.00,224025.00
Caravan or camping - non commercial,22072.00,1200.00,23273.00
Other private accommodation,7907.00,9246.00,17154.00
Other accommodation,22560.00,9817.00,32377.00
